clicks,ctr,impressions,key-1,key-2,keys,position,rootDomain,siteUrl
38,0.07156308851224105,531,https://www.ladies-market.hk/,ladies’ market,"['https://www.ladies-market.hk/', 'ladies’ market']",2.621468926553672,www.ladies-market.hk,https://www.ladies-market.hk/
38,0.1357142857142857,280,https://www.ladies-market.hk/,lady night market,"['https://www.ladies-market.hk/', 'lady night market']",2.225,www.ladies-market.hk,https://www.ladies-market.hk/
38,0.05864197530864197,648,https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station,"ladies market, mong kok direction","['https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station', 'ladies market, mong kok direction']",2.958333333333333,www.ladies-market.hk,https://www.ladies-market.hk/
37,0.15546218487394958,238,https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station,ladies market exit,"['https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station', 'ladies market exit']",3.0714285714285716,www.ladies-market.hk,https://www.ladies-market.hk/
37,0.019628647214854113,1885,https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station,mongkok ladies market,"['https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station', 'mongkok ladies market']",3.487002652519894,www.ladies-market.hk,https://www.ladies-market.hk/
37,0.04378698224852071,845,https://www.ladies-market.hk/opening-hours,ladies market closing time,"['https://www.ladies-market.hk/opening-hours', 'ladies market closing time']",2.588165680473373,www.ladies-market.hk,https://www.ladies-market.hk/
34,0.04387096774193548,775,https://www.ladies-market.hk/,ladies market in hong kong,"['https://www.ladies-market.hk/', 'ladies market in hong kong']",4.723870967741935,www.ladies-market.hk,https://www.ladies-market.hk/
33,0.01166902404526167,2828,https://www.ladies-market.hk/how-to-get-there,lady market mongkok,"['https://www.ladies-market.hk/how-to-get-there', 'lady market mongkok']",3.641089108910891,www.ladies-market.hk,https://www.ladies-market.hk/
32,0.008781558726673985,3644,https://www.ladies-market.hk/,香港女人街,"['https://www.ladies-market.hk/', '香港女人街']",2.430296377607025,www.ladies-market.hk,https://www.ladies-market.hk/
32,0.011506652283351312,2781,https://www.ladies-market.hk/how-to-get-there,mongkok ladies market,"['https://www.ladies-market.hk/how-to-get-there', 'mongkok ladies market']",3.329737504494786,www.ladies-market.hk,https://www.ladies-market.hk/
32,0.02080624187256177,1538,https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station,pasar turis mongkok exit apa,"['https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station', 'pasar turis mongkok exit apa']",9.44148244473342,www.ladies-market.hk,https://www.ladies-market.hk/
31,0.02203269367448472,1407,https://www.ladies-market.hk/,mong kok ladies market opening hours,"['https://www.ladies-market.hk/', 'mong kok ladies market opening hours']",7.076759061833688,www.ladies-market.hk,https://www.ladies-market.hk/
31,0.06652360515021459,466,https://www.ladies-market.hk/,mongkok ladies night market,"['https://www.ladies-market.hk/', 'mongkok ladies night market']",1.3755364806866952,www.ladies-market.hk,https://www.ladies-market.hk/
31,0.04704097116843703,659,https://www.ladies-market.hk/gallery/pages/ladies-market.hk-026,ladies market hong kong bags,"['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-026', 'ladies market hong kong bags']",6.937784522003035,www.ladies-market.hk,https://www.ladies-market.hk/
31,0.09144542772861357,339,https://www.ladies-market.hk/opening-hours,ladies market hk opening hours,"['https://www.ladies-market.hk/opening-hours', 'ladies market hk opening hours']",2.1799410029498523,www.ladies-market.hk,https://www.ladies-market.hk/
31,0.025020177562550445,1239,https://www.ladies-market.hk/where-to-eat,ladies market hong kong food,"['https://www.ladies-market.hk/where-to-eat', 'ladies market hong kong food']",4.451977401129943,www.ladies-market.hk,https://www.ladies-market.hk/
